symbol,date,total_score,avg_dominance,avg_price,weighted_rolling_price,weighted_expanding_price,next_day_price,next_day_return
ACLBSL,2024-11-21,16,0.0,1144.6972972972974,1145.9067791151094,1149.7755870333597,1119.0222222222224,-0.022429576042238854
ACLBSL,2024-11-25,10,9.25185853854297e-18,1119.0222222222224,1118.022974355529,1127.6084409212995,,
ADBL,2024-11-21,30,-1.32169407693471e-18,354.55555555555554,354.5266799327549,354.34368899537293,350.971,-0.010109996866186103
ADBL,2024-11-25,60,-9.462128050782583e-19,350.971,351.16435054539284,352.16648834478417,,
ADBLD83,2024-11-25,3,0.0,1135.0,1135.0,1135.0,,
AHL,2024-11-21,24,-3.6520494231090674e-19,700.9357142857143,700.9979334288706,701.4303742261284,697.6032258064516,-0.004754342532907797
AHL,2024-11-25,26,1.224510688924805e-18,697.6032258064516,697.2477072428902,698.5294490756344,,
AHPC,2024-11-21,42,0.0,276.4020408163265,276.4370247354429,276.42945512683247,280.13097826086954,0.013490990998221168
AHPC,2024-11-25,60,-7.34602288296301e-19,280.13097826086954,280.1587918129871,277.8209519617126,,
AKJCL,2024-11-21,62,1.1963610179150394e-19,213.60909090909092,213.58189644187374,213.68525594138924,208.53872832369942,-0.02373664231148937
AKJCL,2024-11-25,100,6.693769934475723e-19,208.53872832369942,208.62232059952694,210.13577233070993,,
AKPL,2024-11-21,68,1.0154478883766675e-18,261.9032679738562,261.8670429807278,261.1726811505716,255.75196850393698,-0.023486913765937662
AKPL,2024-11-25,76,0.0,255.75196850393698,255.83516802576455,257.96661342086486,,
ALBSL,2024-11-21,7,-2.2204460492503132e-17,869.64,874.1292074592075,874.1292074592075,870.8265306122449,0.0013643928662951923
ALBSL,2024-11-25,30,0.0,870.8265306122449,870.6385097629832,864.3362754967886,,
ALICL,2024-11-21,46,-1.5720931501039814e-18,740.2327272727274,740.1239562568331,739.4281519585662,733.6932203389831,-0.008834393148001022
ALICL,2024-11-25,42,0.0,733.6932203389831,732.7580321066553,733.5169126297744,,
ANLB,2024-11-21,5,0.0,5042.0,5035.8166053244995,5035.391648059543,5111.76551724138,0.01383687370911934
ANLB,2024-11-25,12,4.5102810375396986e-18,5111.76551724138,5107.952953547854,5070.1328377908185,,
API,2024-11-21,68,-1.8753767307857375e-19,291.60240000000005,291.54929319584386,290.9020867001737,288.31054852320676,-0.011288835334665568
API,2024-11-25,100,4.425314989736753e-19,288.31054852320676,288.32563555690155,289.93584209071014,,
AVYAN,2024-11-21,19,7.709882115452476e-19,1066.541463414634,1066.8638693972464,1065.9787416419354,1084.5631578947368,0.016897321949776386
AVYAN,2024-11-25,26,4.163336342344337e-18,1084.5631578947368,1083.0810747075095,1105.6165759850164,,
BARUN,2024-11-21,36,-2.523234146875356e-18,426.97916666666674,426.78453425562907,426.2235027464147,421.09870129870126,-0.013772253606359757
BARUN,2024-11-25,53,1.3010426069826053e-18,421.09870129870126,421.2942938177978,422.5529068614809,,
BBC,2024-11-25,10,-7.93016446160826e-18,4183.555555555556,4178.157141710278,4176.971946622867,,
BEDC,2024-11-21,58,-6.505213034913027e-19,551.9864864864865,551.48998464054,549.4141877492102,551.679104477612,-0.0005568650979682903
BEDC,2024-11-25,34,3.7123082385903674e-18,551.679104477612,551.1873879582198,548.5278930946656,,
BFC,2024-11-21,84,-1.2721305490496584e-18,769.920143884892,769.8829682922469,772.1902177949544,835.7922297297297,0.08555703649011938
BFC,2024-11-25,186,-1.485208455459595e-19,835.7922297297297,835.4669455437954,806.1555747000685,,
