symbol,date,broker,buy_qty,buy_amount,sell_qty,sell_amount,net_amount,total_turnover,dominance_ratio,dominant_flag,market_phase,strong_accumulation,circular_flag,cluster_flag
ACLBSL,2024-11-21,1.0,0.0,0.0,164.0,187288.0,-187288.0,2201945.0,-0.0850557121090672,False,Neutral,False,False,False
ACLBSL,2024-11-21,4.0,0.0,0.0,70.0,80850.0,-80850.0,2201945.0,-0.03671753835813338,False,Neutral,False,False,False
ACLBSL,2024-11-21,5.0,0.0,0.0,200.0,230800.0,-230800.0,2201945.0,-0.10481642366180809,False,Neutral,False,False,False
ACLBSL,2024-11-21,7.0,210.0,238350.0,0.0,0.0,238350.0,2201945.0,0.10824521048436724,False,Neutral,False,False,True
ACLBSL,2024-11-21,17.0,0.0,0.0,216.0,247223.0,-247223.0,2201945.0,-0.11227482975278674,False,Neutral,False,False,False
ACLBSL,2024-11-21,19.0,400.0,461540.0,0.0,0.0,461540.0,2201945.0,0.20960559868661569,False,Neutral,False,False,True
ACLBSL,2024-11-21,21.0,0.0,0.0,26.0,29900.0,-29900.0,2201945.0,-0.013578904105234236,False,Neutral,False,False,False
ACLBSL,2024-11-21,25.0,0.0,0.0,20.0,22820.0,-22820.0,2201945.0,-0.010363564939178772,False,Neutral,False,False,False
ACLBSL,2024-11-21,32.0,0.0,0.0,26.0,30030.0,-30030.0,2201945.0,-0.013637942818735255,False,Neutral,False,False,False
ACLBSL,2024-11-21,34.0,22.0,25080.0,0.0,0.0,25080.0,2201945.0,0.011389930266196476,False,Neutral,False,False,True
ACLBSL,2024-11-21,35.0,0.0,0.0,122.0,139080.0,-139080.0,2201945.0,-0.06316234056708955,False,Neutral,False,False,False
ACLBSL,2024-11-21,39.0,0.0,0.0,26.0,29484.0,-29484.0,2201945.0,-0.013389980222030978,False,Neutral,False,False,False
ACLBSL,2024-11-21,42.0,280.0,317800.0,0.0,0.0,317800.0,2201945.0,0.14432694731248963,False,Neutral,False,False,True
ACLBSL,2024-11-21,45.0,0.0,0.0,300.0,342900.0,-342900.0,2201945.0,-0.15572596045768627,False,Neutral,False,False,False
ACLBSL,2024-11-21,48.0,0.0,0.0,26.0,29900.0,-29900.0,2201945.0,-0.013578904105234236,False,Neutral,False,False,False
ACLBSL,2024-11-21,49.0,100.0,114000.0,0.0,0.0,114000.0,2201945.0,0.05177241030089307,False,Neutral,False,False,True
ACLBSL,2024-11-21,50.0,216.0,244944.0,0.0,0.0,244944.0,2201945.0,0.1112398356907189,False,Neutral,False,False,True
ACLBSL,2024-11-21,58.0,0.0,0.0,26.0,30030.0,-30030.0,2201945.0,-0.013637942818735255,False,Neutral,False,False,True
ACLBSL,2024-11-21,62.0,0.0,0.0,680.0,771610.0,-771610.0,2201945.0,-0.3504220132655448,True,Neutral,False,False,False
ACLBSL,2024-11-21,87.0,700.0,800231.0,26.0,30030.0,770201.0,2201945.0,0.34978212443998374,True,Neutral,False,False,True
ACLBSL,2024-11-25,14.0,34.0,38114.0,0.0,0.0,38114.0,377736.4,0.10090105163283178,False,Markdown,False,False,True
ACLBSL,2024-11-25,26.0,26.0,29120.0,0.0,0.0,29120.0,377736.4,0.0770907966507861,False,Markdown,False,False,True
ACLBSL,2024-11-25,34.0,0.0,0.0,26.0,29120.0,-29120.0,377736.4,-0.0770907966507861,False,Markdown,False,False,True
ACLBSL,2024-11-25,44.0,0.0,0.0,34.0,38114.0,-38114.0,377736.4,-0.10090105163283178,False,Markdown,False,False,False
ACLBSL,2024-11-25,48.0,0.0,0.0,54.0,60485.4,-60485.4,377736.4,-0.16012595026584675,False,Markdown,False,False,False
ACLBSL,2024-11-25,58.0,278.0,310502.4,224.0,250017.0,60485.40000000002,377736.4,0.1601259502658468,False,Markdown,False,True,True
ADBL,2024-11-21,6.0,670.0,237783.0,0.0,0.0,237783.0,1693338.4,0.14042261133391884,False,Neutral,False,False,True
ADBL,2024-11-21,11.0,0.0,0.0,1400.0,497000.0,-497000.0,1693338.4,-0.2935030588097453,True,Neutral,False,False,False
ADBL,2024-11-21,16.0,124.0,43908.4,0.0,0.0,43908.4,1693338.4,0.025930079894249138,False,Neutral,False,False,True
ADBL,2024-11-21,28.0,138.0,48984.0,1860.0,659097.0,-610113.0,1693338.4,-0.3603018746873041,True,Neutral,False,True,True
ADBL,2024-11-21,32.0,100.0,35400.0,0.0,0.0,35400.0,1693338.4,0.020905449259285683,False,Neutral,False,False,True
ADBL,2024-11-21,33.0,196.0,69580.0,0.0,0.0,69580.0,1693338.4,0.04109042823336434,False,Neutral,False,False,True
ADBL,2024-11-21,34.0,50.0,17745.0,0.0,0.0,17745.0,1693338.4,0.010479299353277526,False,Neutral,False,False,True
ADBL,2024-11-21,35.0,40.0,14144.0,0.0,0.0,14144.0,1693338.4,0.008352730913088607,False,Neutral,False,False,True
ADBL,2024-11-21,36.0,0.0,0.0,196.0,69580.0,-69580.0,1693338.4,-0.04109042823336434,False,Neutral,False,False,False
ADBL,2024-11-21,38.0,100.0,35400.0,0.0,0.0,35400.0,1693338.4,0.020905449259285683,False,Neutral,False,False,True
ADBL,2024-11-21,39.0,30.0,10620.0,0.0,0.0,10620.0,1693338.4,0.006271634777785705,False,Neutral,False,False,True
ADBL,2024-11-21,42.0,40.0,14144.0,61.0,21655.0,-7511.0,1693338.4,-0.00443561664933601,False,Neutral,False,False,True
ADBL,2024-11-21,44.0,2086.0,740530.0,0.0,0.0,740530.0,1693338.4,0.4373195576265205,True,Neutral,False,False,True
ADBL,2024-11-21,46.0,0.0,0.0,124.0,43908.4,-43908.4,1693338.4,-0.025930079894249138,False,Neutral,False,False,True
ADBL,2024-11-21,48.0,900.0,318600.0,0.0,0.0,318600.0,1693338.4,0.18814904333357113,False,Neutral,False,False,True
ADBL,2024-11-21,52.0,0.0,0.0,80.0,28288.0,-28288.0,1693338.4,-0.016705461826177215,False,Neutral,False,False,False
ADBL,2024-11-21,59.0,300.0,106500.0,0.0,0.0,106500.0,1693338.4,0.06289351260208828,False,Neutral,False,False,True
ADBL,2024-11-21,61.0,0.0,0.0,117.0,41535.0,-41535.0,1693338.4,-0.02452846991481443,False,Neutral,False,False,False
ADBL,2024-11-21,62.0,0.0,0.0,200.0,71000.0,-71000.0,1693338.4,-0.04192900840139219,False,Neutral,False,False,False
ADBL,2024-11-21,78.0,0.0,0.0,50.0,17745.0,-17745.0,1693338.4,-0.010479299353277526,False,Neutral,False,False,False
ADBL,2024-11-21,90.0,0.0,0.0,686.0,243530.0,-243530.0,1693338.4,-0.1438164988167752,False,Neutral,False,False,False
ADBL,2024-11-25,3.0,244.0,85832.0,0.0,0.0,85832.0,4265076.9,0.0201243733729631,False,Markdown,False,False,True
ADBL,2024-11-25,6.0,20.0,7006.0,12.0,4203.6,2802.3999999999996,4265076.9,0.0006570573205843017,False,Markdown,False,False,True
ADBL,2024-11-25,8.0,4480.0,1572708.2,0.0,0.0,1572708.2,4265076.9,0.3687408778022267,True,Markdown,False,False,True
ADBL,2024-11-25,11.0,0.0,0.0,122.0,42712.2,-42712.2,4265076.9,-0.010014403257301173,False,Markdown,False,False,False
ADBL,2024-11-25,13.0,278.0,97453.4,6000.0,2105499.0,-2008045.6,4265076.9,-0.4708111124561435,True,Markdown,False,True,True
