id,sn,symbol,buyer,seller,quantity,rate,amount,symbol_txn_no
16,2025122801000016,PURE,999,999,10,933.3,9333.0,1
17,2025122801000017,PURE,999,999,300,933.3,279990.0,1
18,2025122801000018,PURE,999,999,200,933.3,186660.0,1
19,2025122801000019,PURE,999,999,200,933.3,186660.0,1
20,2025122801000020,PURE,999,999,100,933.3,93330.0,1
21,2025122801000021,PURE,999,999,190,933.3,177327.0,1
34,2025122801000034,SYPNL,999,999,50,798.7,39935.0,1
35,2025122801000035,SYPNL,999,999,20,798.7,15974.0,1
36,2025122801000036,SYPNL,999,999,20,798.7,15974.0,1
37,2025122801000037,SYPNL,999,999,10,798.7,7987.0,1
38,2025122801000038,SYPNL,999,999,10,798.7,7987.0,1
39,2025122801000039,SYPNL,999,999,50,798.7,39935.0,1
40,2025122801000040,SYPNL,999,999,500,798.7,399350.0,1
41,2025122801000041,SYPNL,999,999,10,798.7,7987.0,1
42,2025122801000042,SYPNL,999,999,400,798.7,319480.0,1
43,2025122801000043,SYPNL,999,999,30,798.7,23961.0,1
44,2025122801000044,SYPNL,999,999,45,798.7,35941.0,1
45,2025122801000045,SYPNL,999,999,200,798.7,159740.0,1
46,2025122801000046,SYPNL,999,999,500,798.7,399350.0,1
47,2025122801000047,SYPNL,999,999,300,798.7,239610.0,1
48,2025122801000048,SYPNL,999,999,10,798.7,7987.0,1
49,2025122801000049,SYPNL,999,999,315,798.7,251590.0,1
50,2025122801000050,SYPNL,999,999,50,798.7,39935.0,1
51,2025122801000051,SYPNL,999,999,3000,798.7,2396100.0,1
52,2025122801000052,SYPNL,999,999,200,798.7,159740.0,1
53,2025122801000053,SYPNL,999,999,10,798.7,7987.0,1
54,2025122801000054,SYPNL,999,999,50,798.7,39935.0,1
55,2025122801000055,SYPNL,999,999,28,798.7,22363.0,1
56,2025122801000056,SYPNL,999,999,20,798.7,15974.0,1
57,2025122801000057,SYPNL,999,999,10,798.7,7987.0,1
58,2025122801000058,SYPNL,999,999,50,798.7,39935.0,1
59,2025122801000059,SYPNL,999,999,30,798.7,23961.0,1
60,2025122801000060,SYPNL,999,999,72,798.7,57506.0,1
61,2025122801000061,SYPNL,999,999,28,798.7,22363.0,1
62,2025122801000062,SYPNL,999,999,50,798.7,39935.0,1
63,2025122801000063,SYPNL,999,999,80,798.7,63896.0,1
64,2025122801000064,SYPNL,999,999,300,798.7,239610.0,1
65,2025122801000065,SYPNL,999,999,100,798.7,79870.0,1
66,2025122801000066,SYPNL,999,999,100,798.7,79870.0,1
67,2025122801000067,SYPNL,999,999,20,798.7,15974.0,1
68,2025122801000068,SYPNL,999,999,20,798.7,15974.0,1
69,2025122801000069,SYPNL,999,999,50,798.7,39935.0,1
113,2025122801000113,SYPNL,999,999,10,798.0,7980.0,12
114,2025122801000114,SYPNL,999,999,10,798.0,7980.0,12
115,2025122801000115,SYPNL,999,999,10,798.0,7980.0,12
116,2025122801000116,SYPNL,999,999,10,795.0,7950.0,12
117,2025122801000117,SYPNL,999,999,100,795.0,79500.0,12
144,2025122801000144,HIMSTAR,999,999,40,845.0,33800.0,5
145,2025122801000145,HIMSTAR,999,999,42,844.0,35448.0,5
146,2025122801000146,HIMSTAR,999,999,90,843.0,75870.0,5
147,2025122801000147,HIMSTAR,999,999,10,842.8,8428.0,5
148,2025122801000148,HIMSTAR,999,999,138,830.0,114540.0,5
160,2025122801000160,SYPNL,999,999,10,798.6,7986.0,22
161,2025122801000161,SYPNL,999,999,90,798.9,71901.0,22
162,2025122801000162,SYPNL,999,999,10,798.0,7980.0,22
163,2025122801000163,SYPNL,999,999,100,798.0,79800.0,22
164,2025122801000164,SYPNL,999,999,390,798.0,311220.0,22
169,2025122801000169,SYPNL,999,999,10,798.0,7980.0,23
170,2025122801000170,SYPNL,999,999,100,798.9,79890.0,23
171,2025122801000171,SYPNL,999,999,100,798.9,79890.0,23
172,2025122801000172,SYPNL,999,999,100,798.0,79800.0,23
173,2025122801000173,SYPNL,999,999,10,798.0,7980.0,23
174,2025122801000174,SYPNL,999,999,10,798.0,7980.0,23
188,2025122801000188,SYPNL,999,999,100,798.0,79800.0,27
189,2025122801000189,SYPNL,999,999,15,798.9,11983.0,27
190,2025122801000190,SYPNL,999,999,85,798.9,67906.0,27
191,2025122801000191,SYPNL,999,999,200,799.0,159800.0,27
192,2025122801000192,SYPNL,999,999,10,800.0,8000.0,27
193,2025122801000193,SYPNL,999,999,10,800.0,8000.0,27
194,2025122801000194,SYPNL,999,999,10,800.0,8000.0,27
195,2025122801000195,SYPNL,999,999,10,800.0,8000.0,27
197,2025122801000197,SYPNL,999,999,10,800.0,8000.0,28
198,2025122801000198,SYPNL,999,999,10,800.0,8000.0,28
199,2025122801000199,SYPNL,999,999,155,800.0,124000.0,28
200,2025122801000200,SYPNL,999,999,190,799.0,151810.0,28
201,2025122801000201,SYPNL,999,999,20,798.1,15962.0,28
202,2025122801000202,SYPNL,999,999,35,798.0,27930.0,28
210,2025122801000210,SYPNL,999,999,10,798.7,7987.0,31
211,2025122801000211,SYPNL,999,999,90,799.0,71910.0,31
212,2025122801000212,SYPNL,999,999,30,798.6,23958.0,31
213,2025122801000213,SYPNL,999,999,10,798.6,7986.0,31
214,2025122801000214,SYPNL,999,999,20,798.0,15960.0,31
215,2025122801000215,SYPNL,999,999,10,798.0,7980.0,31
217,2025122801000217,SYPNL,999,999,10,800.0,8000.0,32
218,2025122801000218,SYPNL,999,999,120,800.0,96000.0,32
