symbol,symbol_txn_no,start_sn,end_sn,trades,total_qty,total_amount,avg_rate,buyer,seller
ADBL,17,2025122801006224,2025122801006228,5,1690,489960.0,289.74,999,999
ADBL,41,2025122801016962,2025122801016966,5,1333,389236.0,292.0,999,999
ADBL,53,2025122801022914,2025122801022919,6,1050,305343.0,290.81666666666666,999,999
ADBL,76,2025122801031314,2025122801031320,7,2618,764456.0,292.0,999,999
ADBL,82,2025122801033960,2025122801033971,12,2100,614970.0,292.65833333333336,999,999
ADBL,84,2025122801034725,2025122801034730,6,970,284210.0,293.0,999,999
ADBL,91,2025122801035631,2025122801035672,42,10120,2992560.0,295.89285714285717,999,999
AHL,3,2025122805000329,2025122805000335,7,500,285961.0,571.8142857142857,999,999
AHL,39,2025122805013946,2025122805013954,9,466,259738.0,557.5,999,999
AHPC,141,2025122804009781,2025122804009788,8,2151,597947.0,277.9875,999,999
AHPC,142,2025122804009800,2025122804009806,7,2849,793486.0,278.54285714285714,999,999
AHPC,151,2025122804010499,2025122804010512,14,10000,2769419.0,277.09285714285716,999,999
AHPC,168,2025122804011895,2025122804011900,6,2500,695869.0,278.40000000000003,999,999
AHPC,33,2025122804001355,2025122804001359,5,1010,278920.0,276.02,999,999
AHPC,35,2025122804001454,2025122804001458,5,788,216700.0,275.0,999,999
AHPC,45,2025122804002014,2025122804002019,6,2000,552422.0,276.15000000000003,999,999
AHPC,49,2025122804002718,2025122804002724,7,2000,552610.0,276.31428571428575,999,999
AHPC,58,2025122804003214,2025122804003221,8,5000,1384241.0,276.8125,999,999
AHPC,69,2025122804004172,2025122804004180,9,2760,764363.0,276.9,999,999
AHPC,81,2025122804005322,2025122804005332,11,4526,1258194.0,277.92727272727274,999,999
AHPC,9,2025122804000149,2025122804000154,6,5000,1385393.0,276.90000000000003,999,999
AKJCL,26,2025122804003287,2025122804003293,7,1500,277755.0,185.12857142857143,999,999
AKJCL,29,2025122804003530,2025122804003535,6,1046,193510.0,185.0,999,999
AKJCL,52,2025122804006890,2025122804006894,5,2500,462849.0,185.1,999,999
AKJCL,54,2025122804007274,2025122804007290,17,5000,933090.0,186.49411764705883,999,999
AKJCL,55,2025122804007294,2025122804007298,5,2500,467500.0,187.0,999,999
AKJCL,57,2025122804007523,2025122804007534,12,5000,939279.0,187.54999999999998,999,999
AKJCL,62,2025122804008234,2025122804008243,10,3500,657939.0,187.99,999,999
AKJCL,7,2025122804000405,2025122804000410,6,1500,279715.0,186.3166666666667,999,999
AKJCL,73,2025122804009683,2025122804009687,5,5000,928602.0,185.78,999,999
AKJCL,88,2025122804011305,2025122804011312,8,1900,355796.0,187.125,999,999
AKJCL,89,2025122804011939,2025122804011946,8,3900,732883.0,187.8875,999,999
AKPL,132,2025122804009289,2025122804009293,5,1998,495504.0,248.0,999,999
AKPL,152,2025122804010736,2025122804010742,7,4000,993170.0,248.22857142857143,999,999
AKPL,38,2025122804002933,2025122804002937,5,1500,367725.0,245.08,999,999
AKPL,51,2025122804003992,2025122804004013,22,5951,1468135.0,246.7409090909091,999,999
AKPL,79,2025122804006858,2025122804006862,5,1000,245334.0,245.35999999999999,999,999
AKPL,96,2025122804007514,2025122804007518,5,2000,492450.0,246.35999999999999,999,999
ALBSL,110,2025122803007708,2025122803007713,6,210,246396.0,1173.3666666666666,999,999
ALBSL,113,2025122803007989,2025122803008000,12,500,589843.0,1179.6499999999999,999,999
ALBSL,14,2025122803001075,2025122803001079,5,1000,1170253.0,1170.48,999,999
ALICL,116,2025122803008690,2025122803008698,9,3489,1620143.0,464.4777777777778,999,999
ALICL,120,2025122803008903,2025122803008907,5,1650,769372.0,466.23999999999995,999,999
ALICL,20,2025122803001204,2025122803001211,8,3782,1740404.0,460.2125,999,999
ALICL,44,2025122803001982,2025122803001987,6,886,410232.0,462.8833333333334,999,999
ALICL,46,2025122803002085,2025122803002095,11,2000,929721.0,464.76363636363635,999,999
ALICL,54,2025122803003110,2025122803003121,12,1612,749175.0,464.7416666666666,999,999
API,102,2025122804005437,2025122804005447,11,2400,700436.0,291.89090909090913,999,999
API,106,2025122804005513,2025122804005522,10,2498,730783.0,292.4,999,999
API,120,2025122804006072,2025122804006076,5,1414,414156.0,292.32,999,999
API,127,2025122804006221,2025122804006225,5,1105,323754.0,292.98,999,999
API,157,2025122804007624,2025122804007628,5,1500,437780.0,291.82,999,999
API,159,2025122804007723,2025122804007729,7,1135,331705.0,292.18571428571425,-,-
API,182,2025122804009415,2025122804009419,5,464,135470.0,291.96,999,999
API,189,2025122804010014,2025122804010021,8,3000,878851.0,292.9375,999,999
API,190,2025122804010024,2025122804010031,8,2000,586000.0,293.0,999,999
API,191,2025122804010051,2025122804010055,5,2000,585997.0,292.98,999,999
API,194,2025122804010137,2025122804010146,10,2000,585888.0,292.96,999,999
API,197,2025122804010222,2025122804010230,9,3000,880036.0,293.32222222222225,999,999
API,229,2025122804012368,2025122804012389,22,9124,2682431.0,293.98636363636365,999,999
API,234,2025122804012491,2025122804012542,52,21304,6283668.0,294.94038461538463,999,999
API,4,2025122804000311,2025122804000317,7,3487,1016791.0,291.5857142857143,999,999
API,43,2025122804001527,2025122804001532,6,4000,1156424.0,289.51666666666665,999,999
API,8,2025122804000438,2025122804000442,5,5094,1472910.0,289.21999999999997,999,999
API,88,2025122804004197,2025122804004215,19,10000,2907543.0,290.7473684210526,999,999
AVYAN,30,2025122801035045,2025122801035050,6,64,59888.0,935.6666666666666,999,999
BANDIPUR,101,2025122801002613,2025122801002629,17,405,299683.0,739.9,999,999
BANDIPUR,1017,2025122801025495,2025122801025505,11,215,159535.0,742.1363636363636,999,999
BANDIPUR,1032,2025122801025884,2025122801025906,23,1220,906440.0,742.9130434782609,999,999
BANDIPUR,1053,2025122801026293,2025122801026297,5,1000,740743.0,740.74,999,999
BANDIPUR,1236,2025122801030911,2025122801030930,20,200,148000.0,740.0,999,999
BANDIPUR,1242,2025122801031078,2025122801031082,5,50,37000.0,740.0,999,999
BANDIPUR,1381,2025122801033713,2025122801033717,5,50,36945.0,738.9,999,999
BANDIPUR,1384,2025122801033812,2025122801033818,7,70,51725.0,738.9285714285714,999,999
BANDIPUR,1436,2025122801035330,2025122801035339,10,500,368954.0,738.03,999,999
BANDIPUR,1474,2025122801036495,2025122801036501,7,70,51725.0,738.9285714285714,999,999
BANDIPUR,1533,2025122801038065,2025122801038070,6,60,44338.0,738.9666666666667,999,999
BANDIPUR,1540,2025122801038304,2025122801038312,9,90,66600.0,740.0,999,999
BANDIPUR,1542,2025122801038357,2025122801038436,80,1910,1413400.0,740.0,999,999
BANDIPUR,1549,2025122801038570,2025122801038590,21,210,155598.0,740.9428571428571,999,999
BANDIPUR,1561,2025122801038798,2025122801038803,6,60,44520.0,742.0,999,999
BANDIPUR,1568,2025122801038962,2025122801038973,12,190,140980.0,742.0,999,999
BANDIPUR,214,2025122801005871,2025122801005918,48,995,735988.0,739.7770833333334,999,999
BANDIPUR,241,2025122801006709,2025122801006717,9,970,714024.0,736.1333333333333,-,-
BANDIPUR,243,2025122801006781,2025122801006788,8,230,169398.0,736.725,999,999
BANDIPUR,296,2025122801007976,2025122801007996,21,210,155068.0,738.4190476190475,999,999
BANDIPUR,353,2025122801009373,2025122801009381,9,90,66509.0,738.9888888888888,999,999
BANDIPUR,359,2025122801009609,2025122801009615,7,70,51724.0,738.9142857142857,999,999
BANDIPUR,365,2025122801009742,2025122801009765,24,300,221995.0,739.9791666666666,999,999
BANDIPUR,367,2025122801009819,2025122801009824,6,80,59200.0,740.0,999,999
BANDIPUR,392,2025122801010488,2025122801010505,18,180,133170.0,739.8333333333334,999,999
BANDIPUR,403,2025122801010840,2025122801010848,9,90,66600.0,740.0,999,999
BANDIPUR,413,2025122801011276,2025122801011307,32,500,370738.0,741.209375,999,999
BANDIPUR,431,2025122801012457,2025122801012466,10,100,74200.0,742.0,999,999
BANDIPUR,440,2025122801012661,2025122801012668,8,80,59440.0,743.0,999,999
BANDIPUR,490,2025122801013886,2025122801013890,5,190,141116.0,742.48,999,999
BANDIPUR,492,2025122801014005,2025122801014011,7,500,371460.0,742.6999999999999,999,999
BANDIPUR,527,2025122801015028,2025122801015032,5,100,74269.0,742.48,999,999
BANDIPUR,557,2025122801016048,2025122801016053,6,60,44395.0,739.9166666666666,999,999
BANDIPUR,586,2025122801017062,2025122801017073,12,120,88800.0,740.0,999,999
BANDIPUR,593,2025122801017217,2025122801017221,5,50,37000.0,740.0,999,999
BANDIPUR,64,2025122801001444,2025122801001452,9,500,371647.0,742.4333333333333,999,999
BANDIPUR,657,2025122801018676,2025122801018681,6,200,148189.0,740.8333333333334,999,999
BANDIPUR,662,2025122801018815,2025122801018826,12,207,153537.0,741.8583333333332,999,999
BANDIPUR,671,2025122801019001,2025122801019021,21,500,371393.0,742.7,999,999
BANDIPUR,68,2025122801001541,2025122801001545,5,50,37037.0,740.74,999,999
BANDIPUR,731,2025122801020066,2025122801020102,37,1100,817764.0,743.2756756756756,999,999
BANDIPUR,845,2025122801022249,2025122801022254,6,60,44445.0,740.75,999,999
BANDIPUR,849,2025122801022302,2025122801022310,9,90,66690.0,741.0,999,999
BANDIPUR,961,2025122801024426,2025122801024469,44,480,355991.0,741.6159090909091,999,999
BANDIPUR,987,2025122801024913,2025122801024920,8,80,59280.0,741.0,999,999
BARUN,103,2025122804006693,2025122804006703,11,5000,1600898.0,320.3090909090909,999,999
BARUN,117,2025122804008008,2025122804008013,6,983,315169.0,320.3833333333333,999,999
BARUN,127,2025122804008605,2025122804008613,9,1225,390863.0,319.1,999,999
BARUN,133,2025122804009698,2025122804009706,9,3450,1115482.0,323.17777777777775,999,999
BARUN,148,2025122804010915,2025122804010923,9,2819,902776.0,320.31111111111113,999,999
BARUN,154,2025122804011285,2025122804011289,5,588,188346.0,320.26000000000005,999,999
BARUN,160,2025122804011679,2025122804011684,6,7000,2245815.0,320.81666666666666,999,999
BARUN,62,2025122804003962,2025122804003966,5,1100,352040.0,320.04,999,999
BARUN,72,2025122804005064,2025122804005068,5,155,49751.0,320.96,999,999
BARUN,79,2025122804005417,2025122804005421,5,500,161162.0,322.2,999,999
BARUN,83,2025122804005593,2025122804005598,6,500,161990.0,323.96666666666664,999,999
BEDC,54,2025122805010426,2025122805010433,8,1000,524267.0,524.55,999,999
BEDC,85,2025122805015925,2025122805015932,8,375,198720.0,529.9625,999,999
BFC,31,2025122803007112,2025122803007116,5,810,369503.0,456.46000000000004,999,999
BFC,40,2025122803009035,2025122803009042,8,1000,462503.0,461.6,999,999
BGWT,16,2025122805010919,2025122805010923,5,50,38450.0,769.0,999,999
BGWT,26,2025122805014582,2025122805014588,7,505,384312.0,760.657142857143,999,999
BHCL,101,2025122801008817,2025122801008822,6,60,29016.0,483.59999999999997,999,999
BHCL,110,2025122801009707,2025122801009724,18,700,339430.0,484.77777777777777,999,999
BHCL,128,2025122801010833,2025122801010837,5,50,24150.0,483.0,999,999
BHCL,139,2025122801011434,2025122801011443,10,210,101840.0,484.9,999,999
BHCL,142,2025122801011759,2025122801011769,11,1100,534577.0,485.87272727272733,999,999
