symbol,start_sn,end_sn,total_trades,total_qty,total_amount,avg_rate
ADBL,2025122801006224,2025122801035672,83,19881,5840735.0,293.9156626506024
AHL,2025122805000329,2025122805013954,16,966,545699.0,563.7625
AHPC,2025122804000149,2025122804011900,92,40584,11249564.0,277.1173913043478
AKJCL,2025122804000405,2025122804011946,89,33346,6228918.0,186.67640449438204
AKPL,2025122804002933,2025122804010742,49,16449,4062318.0,246.73265306122448
ALBSL,2025122803001075,2025122803008000,23,1710,2006492.0,1176.017391304348
ALICL,2025122803001204,2025122803008907,51,13419,6219047.0,463.9176470588235
API,2025122804000311,2025122804012542,199,75525,22110623.0,292.9673366834171
AVYAN,2025122801035045,2025122801035050,6,64,59888.0,935.6666666666666
BANDIPUR,2025122801001444,2025122801038973,650,14482,10727253.0,740.6555384615384
BARUN,2025122804003962,2025122804011684,76,23320,7484292.0,320.9868421052632
BEDC,2025122805010426,2025122805015932,16,1375,722987.0,527.25625
BFC,2025122803007112,2025122803009042,13,1810,832006.0,459.62307692307695
BGWT,2025122805010919,2025122805014588,12,555,422762.0,764.1333333333333
BHCL,2025122801002060,2025122801037410,195,18275,8836223.0,484.95025641025643
BHDC,2025122805000598,2025122805011935,62,17508,8316638.9,474.9177419354839
BHL,2025122805000250,2025122805015660,44,14919,2649012.0,177.57272727272726
BHPL,2025122805001140,2025122805016240,199,36625,18777954.0,512.754271356784
BPCL,2025122804000424,2025122804010751,122,47496,34617044.0,729.4172131147541
BUNGAL,2025122801002150,2025122801036075,300,12200,7112691.0,583.3796666666666
CBBL,2025122803000382,2025122803009139,40,4117,4281369.0,1039.6025
CFCL,2025122803004947,2025122803007308,20,5300,2475569.7,468.26000000000005
CGH,2025122804004153,2025122804011458,39,3933,3370535.0,857.2
CHCL,2025122804000304,2025122804012889,124,35885,18010918.0,502.18629032258065
CHDC,2025122805005121,2025122805009742,31,3561,7987775.0,2242.9870967741936
CHL,2025122804003648,2025122804011957,34,13150,3386171.0,257.86764705882354
CIT,2025122805000709,2025122805005321,40,1385,2493897.0,1800.8775
CITY,2025122801017802,2025122801028452,19,3055,1469735.0,480.9105263157894
CKHL,2025122805014258,2025122805014792,21,1582,1028613.0,649.3904761904762
CLI,2025122805002027,2025122805015904,175,27969,13245181.1,475.3331428571429
CORBL,2025122803008407,2025122803008411,5,200,295440.0,1477.0
CREST,2025122801017255,2025122801037108,47,1100,1335150.0,1214.8808510638298
CYCL,2025122801037448,2025122801037454,7,150,232962.0,1552.3857142857144
CZBIL,2025122801019767,2025122801036691,52,28515,5535566.0,194.19423076923078
DDBL,2025122803000815,2025122803000819,5,200,175710.0,878.4799999999999
DHEL,2025122801000793,2025122801038712,444,18555,10453303.0,563.709009009009
DLBS,2025122801016186,2025122801018883,18,765,1021543.0,1335.2555555555555
DORDI,2025122805002150,2025122805014834,55,13570,3410862.0,251.4690909090909
EBL,2025122801003909,2025122801038662,47,7476,4868816.0,651.8851063829787
EDBL,2025122803001974,2025122803001978,5,2120,1224008.0,577.52
EHPL,2025122805007807,2025122805009587,15,2505,1006070.0,401.88
ENL,2025122805013104,2025122805013111,8,200,180372.0,901.5
FMDBL,2025122803005476,2025122803007450,12,1000,793194.0,793.0333333333333
FOWAD,2025122803007917,2025122803007921,5,500,537090.0,1073.92
GBBL,2025122803001069,2025122803003979,20,4531,1712974.0,378.11
GBIME,2025122801002386,2025122801038927,173,77430,17646642.0,227.97167630057803
GBLBS,2025122803000192,2025122803005462,15,1126,919388.0,816.5066666666667
GCIL,2025122805001032,2025122805011197,100,7503,3121701.8,415.601
GFCL,2025122803002429,2025122803009304,28,5128,2917653.0,568.3785714285715
GHL,2025122804004120,2025122804012603,34,14429,3018454.0,209.44117647058823
GILB,2025122803003377,2025122803003381,5,245,288952.0,1179.0
GLH,2025122804007493,2025122804011381,21,3070,761365.0,248.0190476190476
GMFIL,2025122803004832,2025122803009182,26,6500,2974778.0,457.8384615384615
GMLI,2025122801030235,2025122801035915,14,724,1243166.0,1716.1642857142856
GRDBL,2025122803002125,2025122803008751,46,3869,4289496.0,1109.8717391304347
