symbol,amount
NGPL,540406125.3
JFL,513237007.4
NRN,358271564.2
BFC,324093523.7
RHPL,242072741.1
PHCL,239277325.6
NFS,180055739.2
SMHL,179215010.4
RFPL,176588638.8
SHPC,151067935.6
SFCL,150382899.0
SAPDBL,145309526.2
KRBL,142804292.6
HURJA,140452429.7
HRL,129183293.5
PFL,128189208.0
MEN,111207285.4
TSHL,110945785.5
HATHY,108582184.6
MBJC,105621155.3
MDB,84313459.1
CHCL,84237996.1
PROFL,83488982.3
SBI,83469882.8
SCB,81118234.6
HIDCLP,80771917.6
SJCL,78664141.8
API,76721512.4
SAHAS,76696093.0
SHEL,74333212.8
CFCL,71440024.1
SHIVM,70784579.1
UMRH,70767694.3
NABIL,69975751.5
NICA,64788742.2
NLG,63594314.7
SINDU,60008260.2
RLFL,59563812.8
MMKJL,57816470.7
SANIMA,57744762.1
ICFC,57393152.3
HDL,55438271.0
EDBL,55327492.6
SADBL,52063408.2
NHPC,51913791.3
SGIC,51848226.2
MFIL,51491398.4
KBL,51278521.8
CHDC,50132961.8
NTC,49321005.2
NIFRA,46941919.9
SHINE,46848884.6
AVYAN,44189833.5
UPPER,44128603.3
HIDCL,44127632.4
AKPL,44110992.1
USHEC,44089779.8
CGH,43472791.8
AHPC,42759629.0
NABBC,42155638.4
GFCL,42075522.3
GBIME,41945966.8
MLBL,41716731.5
CLI,40809802.8
BARUN,40707957.9
RIDI,40401019.7
IHL,40139279.8
NIMB,39823530.6
MLBBL,39475938.4
HLI,39150703.2
UHEWA,38194737.5
MAKAR,37184465.8
HLIPO,37057000.0
SHL,36739869.6
AKJCL,36652006.4
JBBL,35727173.8
LSL,35408207.5
SJLIC,35389928.3
NLIC,35177612.8
GRDBL,34943978.4
SARBTM,34722896.8
GMFIL,34351911.9
MPFL,33817912.2
SONA,33286886.3
MKHL,33162297.8
HDHPC,33089688.2
UMHL,32701358.8
CITY,32394025.6
GUFL,30980850.9
EBL,30949476.9
SMFBS,30636460.6
NHDL,30217576.0
PRVU,30074867.8
SPC,30014241.2
GLH,29674932.0
PCBL,29670411.0
HPPL,29287248.6
NRIC,29227052.1
ALICL,29006618.4
HHL,28828377.0
GHL,28445981.1
SIFC,28256021.8
