symbol,trade_count,total_quantity,total_value,avg_rate,vwap
ACLBSL,114.0,6070.0,6843956.3,1127.932456140351,1127.5051565074134
ADBL,379.0,53087.0,18691233.2,352.06306068601583,352.08682351611503
ADBLD83,2.0,200.0,227000.0,1135.0,1135.0
AHL,162.0,13678.0,9552255.8,699.0296296296298,698.3664132183068
AHPC,537.0,153652.0,42759629.0,278.3024208566108,278.288788951657
AKJCL,771.0,174541.0,36652006.400000006,210.14033722438393,209.99081247386005
AKPL,698.0,171133.0,44110992.099999994,257.821776504298,257.7585392647823
ALBSL,169.0,7045.0,6094268.0,864.7408284023668,865.0486870120653
ALICL,233.0,39554.0,29006618.4,733.9944206008585,733.3422258178692
ANLB,82.0,2837.0,14459646.4,5072.99268292683,5096.808741628481
API,817.0,264885.0,76721512.4,289.7769889840881,289.64083432432943
AVYAN,545.0,39981.0,44189833.5,1103.4717431192662,1105.270841149546
BARUN,348.0,96382.0,40707957.9,421.97959770114943,422.36058496399744
BBC,11.0,152.0,635372.2,4182.018181818182,4180.0802631578945
BEDC,384.0,46356.0,25433697.700000003,548.9729166666666,548.6603179739409
BFC,2010.0,400190.0,324093523.7,809.5260696517413,809.8491309128163
BGWT,176.0,12894.0,12921688.7,998.8511363636363,1002.1474096478981
BHDC,219.0,25496.0,16612562.6,648.4342465753425,651.5752510197678
BHL,196.0,14854.0,5547884.6,373.65765306122444,373.4943180288138
BHPL,165.0,12337.0,9692573.8,785.5242424242424,785.6507903055849
BNHC,328.0,37589.0,19419666.4,516.7871951219512,516.6316315943494
BNL,4.0,120.0,1969280.0,16433.0,16410.666666666668
BNT,19.0,230.0,3223842.0,13998.115789473684,14016.704347826088
BOKD86,2.0,50.0,51000.0,1020.0,1020.0
BPCL,124.0,8912.0,3950478.8,443.64838709677423,443.2763464991023
C30MF,4.0,500.0,4689.0,9.395000000000001,9.378
CBBL,258.0,14676.0,14127636.7,962.6589147286821,962.635370673208
CCBD88,8.0,114.0,126333.4,1113.325,1108.1877192982456
CFCL,577.0,103632.0,71440024.1,689.4488734835355,689.3625916705264
CGH,491.0,45798.0,43472791.800000004,948.5456211812627,949.2290449364602
CHCL,730.0,141493.0,84237996.1,596.4478082191781,595.3509792003845
CHDC,401.0,30566.0,50132961.8,1643.444139650873,1640.1544788326898
CHL,128.0,20092.0,7587757.1,377.38906249999997,377.65066195500697
CIT,221.0,7579.0,16451359.600000001,2169.4180995475112,2170.650428816467
CITY,371.0,36158.0,32394025.6,895.6037735849056,895.9020299795343
CKHL,208.0,16334.0,11419706.5,698.6254807692306,699.1371678706992
CLI,878.0,60554.0,40809802.8,674.062186788155,673.9406612279948
CMF1,27.0,100680.0,1096155.9000000001,10.774814814814814,10.887523837902267
CMF2,12.0,19800.0,189748.0,9.586666666666666,9.583232323232323
CORBL,198.0,16087.0,20178028.0,1263.4,1254.306458631193
CYCL,353.0,13468.0,23325120.0,1730.1073654390932,1731.8918918918919
