symbol,total_quantity,total_amount,avg_rate,num_trades
NGPL,1080481,540406125.3,498.72133425990273,2878
JFL,545578,513237007.4,949.7338053097345,1695
NRN,361373,358271564.2,993.6788519637462,1986
BFC,400190,324093523.7,809.5260696517413,2010
RHPL,526327,242072741.1,459.4102248394004,1868
PHCL,430624,239277325.6,553.4945887445888,924
NFS,125568,180055739.2,1432.7839960238568,1006
SMHL,194681,179215010.4,914.8635334088335,883
RFPL,222826,176588638.8,802.3927943760984,569
SHPC,272865,151067935.6,553.4071856287425,668
SFCL,188984,150382899.0,794.779424778761,1356
SAPDBL,165937,145309526.2,873.8530227948463,1009
KRBL,175199,142804292.6,815.729696969697,990
HURJA,575018,140452429.7,244.20030193236715,1656
HRL,151737,129183293.5,851.614075203252,1968
PFL,172941,128189208.0,740.9485744456177,947
MEN,151203,111207285.4,735.3552268244575,507
TSHL,110460,110945785.5,1003.7915016501651,1212
HATHY,72376,108582184.6,1498.6087563451777,788
MBJC,272939,105621155.3,387.02647914645974,2062
MDB,121668,84313459.1,692.5980568011958,669
CHCL,141493,84237996.1,596.4478082191781,730
PROFL,119102,83488982.3,701.7705950991832,857
SBI,180713,83469882.8,461.01139705882355,272
SCB,106491,81118234.6,761.5326123128119,601
HIDCLP,458749,80771917.6,175.888125,640
SJCL,208625,78664141.8,376.73690248565964,1046
API,264885,76721512.4,289.7769889840881,817
SAHAS,147575,76696093.0,519.0420731707318,984
SHEL,283586,74333212.8,262.6314834578442,937
CFCL,103632,71440024.1,689.4488734835355,577
SHIVM,121345,70784579.1,583.2708025477707,785
UMRH,132150,70767694.3,535.2333870967742,620
NABIL,125923,69975751.5,554.7837537840564,991
NICA,152648,64788742.2,424.62862694300514,772
NLG,69697,63594314.7,912.7434782608696,368
SINDU,71605,60008260.2,835.4641361256544,382
RLFL,85173,59563812.8,697.7827814569537,604
MMKJL,88418,57816470.7,655.2911917098445,386
SANIMA,183455,57744762.1,315.10048309178745,414
ICFC,75519,57393152.3,761.0414736842106,475
HDL,42255,55438271.0,1311.653325415677,842
EDBL,86024,55327492.6,643.0854922279793,386
SADBL,113517,52063408.2,458.1599415204679,342
NHPC,234786,51913791.3,221.43811129848228,593
SGIC,74171,51848226.2,699.131050955414,628
MFIL,67980,51491398.4,759.5419006479482,463
KBL,232519,51278521.8,220.49846698113208,848
CHDC,30566,50132961.8,1643.4441396508728,401
NTC,50861,49321005.2,969.3279166666667,480
NIFRA,175220,46941919.9,268.02789783889983,1018
SHINE,100716,46848884.6,465.36119733924613,451
AVYAN,39981,44189833.5,1103.471743119266,545
UPPER,206603,44128603.3,213.57321792260691,982
HIDCL,168087,44127632.4,262.10436817472697,641
AKPL,171133,44110992.1,257.821776504298,698
