trader,total_buy_qty,total_buy_amount,avg_buy_rate,buy_trades,total_sell_qty,total_sell_amount,avg_sell_rate,sell_trades,activity_level,most_traded_symbol
-,11819499,6110798551.75,694.2488418719461,59553,11819499.0,6110798551.75,694.2488418719461,59553.0,High,NRN
1,50352,28944012.9,701.3083529411765,340,131840.0,54802225.0,537.931873905429,571.0,High,HRL
10,38109,13298873.9,710.3905035971223,139,22257.0,12381478.6,627.9365853658537,164.0,High,SBL
100,22199,12764967.6,773.9840579710145,69,10.0,9040.0,904.0,1.0,High,SMJC
101,64,14080.0,220.0,2,800.0,344900.0,439.5,4.0,Low,KBL
11,42646,21683475.3,681.5754705882352,340,30493.0,16982977.0,660.0459016393443,305.0,High,NWCL
13,85140,38041422.4,591.922495049505,505,86951.0,42410256.2,673.2239138240574,557.0,High,NGPL
14,186119,82100190.4,582.7757196029777,806,111256.0,57881012.7,657.2494751381215,724.0,High,NGPL
16,91353,42188315.4,589.8069212410501,419,127356.0,55230019.6,594.5449163879598,598.0,High,NGPL
17,323119,90552165.2,618.643438113949,1018,451411.0,129751520.5,683.7444644464446,1111.0,High,HRL
18,36918,24552608.6,769.9613496932515,163,27670.0,19667223.2,765.7379310344827,174.0,High,CLI
19,77180,33622811.9,595.350474137931,464,83941.0,37991910.7,852.0560842105264,475.0,High,MBJC
20,22689,9593487.2,534.0389937106918,159,176870.0,34943372.0,648.8665502183406,229.0,High,MKHL
21,120736,37477058.38,612.8737142857143,560,91293.0,44365009.3,650.4651428571428,595.0,High,RHPL
22,84789,46548838.3,673.1338063439066,599,142980.0,54593619.7,646.4037628111274,683.0,High,NGPL
25,119644,37363660.7,579.0987008547008,585,88258.0,42398976.5,593.6520824742269,485.0,High,MBJC
26,228867,85910971.0,556.2110304789551,689,200052.0,78803008.1,600.308958068615,787.0,High,AHPC
28,151596,103543336.2,727.2468581687613,557,140585.0,85625729.7,783.5073523809524,525.0,High,SMHL
29,67118,41526837.0,860.06,455,97724.0,43941449.4,846.0967657992564,538.0,High,CORBL
3,36673,21421791.1,837.1942696629213,178,50012.0,24423144.4,651.2359090909091,220.0,High,HRL
32,126696,64433426.2,693.2835897435898,663,99898.0,58541347.2,740.7526333333334,600.0,High,NGPL
33,299500,88413501.2,545.001736526946,501,222455.0,95313106.1,691.6545773524721,627.0,High,NGPL
34,295742,135675156.8,691.3604271186441,1475,276774.0,137465546.7,656.2199435028249,1770.0,High,NGPL
35,102105,46468125.7,619.2442816901408,710,145115.0,65573547.5,641.811052631579,798.0,High,NGPL
36,71898,39927762.3,710.9182640144666,553,72302.0,37034331.7,696.9579638752053,609.0,High,HRL
37,30929,15429914.2,687.428488372093,172,32108.0,18335838.0,936.7468899521531,209.0,High,HURJA
38,183252,95629785.1,770.4094331395348,1376,187223.0,93828393.14,725.4401573676681,1398.0,High,NGPL
39,110933,72204755.9,1041.4772839506172,648,112553.0,40525335.5,704.8087058823529,510.0,High,MKJC
4,122327,47804258.1,548.4328336079077,607,98997.0,52715593.9,634.6203125000001,704.0,High,MAKAR
40,53048,27384624.3,676.6421333333334,300,68678.0,22090487.1,541.3600442477876,226.0,High,HRL
41,204476,166714333.8,864.5219107282694,1277,151328.0,84380407.6,713.9260437375746,1006.0,High,NFS
42,302064,142561781.32,637.7158131939909,1531,244153.0,111262606.1,719.0690771558245,1322.0,High,NGPL
43,76534,30802267.3,584.4731643002028,493,73993.0,40268007.6,636.3302690582959,446.0,High,NGPL
44,171492,79030460.7,650.4423728813559,826,127192.0,76185178.6,822.5296697490091,757.0,High,NRM
45,327023,164760961.6,668.2783382789318,1685,265032.0,125551087.9,652.2562855337966,1583.0,High,SHPC
46,26509,13475779.0,655.6647715736041,197,52992.0,20827499.0,559.1495104895105,286.0,High,HIDCL
47,97390,35774037.74,702.761254681648,534,87154.0,29812399.5,648.8035922330098,412.0,High,SARBTM
48,116320,65287522.2,720.6358169934641,765,122089.0,62755502.9,678.8525474254742,738.0,High,NHDL
49,221497,123627528.1,638.2878107344633,1416,272007.0,148254791.5,711.3892639257294,1508.0,High,NGPL
5,219171,21912339.2,545.117641509434,318,38195.0,24600398.0,738.8188596491228,228.0,High,PSF
50,69767,35848461.2,622.3084293193717,382,82645.0,36006555.0,593.7187173396675,421.0,High,RADHI
51,87459,48685993.9,722.5886454183267,502,58455.0,34901220.7,727.1442994241843,521.0,High,ILI
52,72203,36298255.2,639.1387550200802,498,57553.0,32419530.5,707.5874263261296,509.0,High,NGPL
53,40614,21713760.8,680.6260135135135,296,179169.0,76946031.0,727.2691358024691,648.0,High,NGPL
54,64996,23066861.6,679.0456571428572,350,65164.0,25389510.6,634.6599378881988,322.0,High,NGPL
55,104441,54751611.0,660.905298013245,604,86754.0,40473991.9,686.3777906976744,516.0,High,UMHL
56,138397,86735521.9,856.0425633383011,671,148212.0,86446940.0,760.8795343422585,859.0,High,HRL
57,223244,96316906.1,624.4127099506,1417,250731.0,104965795.1,701.9924476987449,1434.0,High,NGPL
58,364753,173744298.3,645.757170487106,2792,669147.0,352693364.1,631.9619561863623,3241.0,High,MBJC
